Total Sales;$8.762.912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Profit;$1.294.794;;;04.11.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Transactions;$6.227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date;Store Name;Region;Note;Store Type;Product Name;Product Category;Units Sold;Revenue;Profit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TREEMAP;;;
01.01.2020;Beverly Hills;Los Angeles;;Residential;Action Figure;Toys;63;$1.007;$378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Region;Store;Product Category;Revenue
02.01.2020;Beverly Hills;Los Angeles;;Residential;Animal Figures;Toys;7;$91;$21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Los Angeles;Beverly Hills;Toys;#REF!
03.01.2020;Beverly Hills;Los Angeles;;Residential;Chutes & Ladders;Games;5;$65;$15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Los Angeles;Beverly Hills;Games;#REF!
04.01.2020;Beverly Hills;Los Angeles;;Residential;Classic Dominoes;Games;11;$110;$22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Los Angeles;Beverly Hills;Electronics;#REF!
05.01.2020;Beverly Hills;Los Angeles;;Residential;Colorbuds;Electronics;5;$75;$40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Los Angeles;Beverly Hills;Sports & Outdoors;#REF!
06.01.2020;Beverly Hills;Los Angeles;;Residential;Dart Gun;Sports & Outdoors;24;$384;$96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Los Angeles;Beverly Hills;Art & Crafts;#REF!
07.01.2020;Beverly Hills;Los Angeles;The whole data is needed;Residential;Deck Of Cards;Games;81;$566;$243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;New York;Fifth Avenue;Toys;#REF!
08.01.2020;Beverly Hills;Los Angeles;;Residential;Dino Egg;Toys;18;$198;$18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;New York;Fifth Avenue;Games;#REF!
09.01.2020;Beverly Hills;Los Angeles;;Residential;Dinosaur Figures;Toys;52;$779;$208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;New York;Fifth Avenue;Electronics;#REF!
10.01.2020;Beverly Hills;Los Angeles;;Residential;Glass Marbles;Games;10;$110;$50;;;;;;;;o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;New York;Fifth Avenue;Sports & Outdoors;#REF!
11.01.2020;Beverly Hills;Los Angeles;;Residential;Kids Makeup Kit;Art & Crafts;2;$40;$12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;New York;Fifth Avenue;Art & Crafts;#REF!
12.01.2020;Beverly Hills;Los Angeles;;Residential;Lego Bricks;Toys;71;$2.839;$355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Los Angeles;Hollywood;Toys;#REF!
13.01.2020;Beverly Hills;Los Angeles;;Residential;Mini Ping Pong;Sports & Outdoors;96;$959;$288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Los Angeles;Hollywood;Games;#REF!
14.01.2020;Beverly Hills;Los Angeles;;Residential;Monopoly;Games;6;$120;$36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Los Angeles;Hollywood;Electronics;#REF!
15.01.2020;Beverly Hills;Los Angeles;;Residential;PlayDoh Can;Art & Crafts;8;$24;$8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Los Angeles;Hollywood;Sports & Outdoors;#REF!
16.01.2020;Beverly Hills;Los Angeles;;Residential;PlayDoh Toolkit;Art & Crafts;31;$155;$31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Los Angeles;Hollywood;Art & Crafts;#REF!
17.01.2020;Beverly Hills;Los Angeles;;Residential;Rubik's Cube;Games;26;$520;$52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;New York;JFK;Toys;#REF!
18.01.2020;Beverly Hills;Los Angeles;%;Residential;Splash Balls;Sports & Outdoors;32;$288;$32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;New York;JFK;Games;#REF!
19.01.2020;Beverly Hills;Los Angeles;%;Residential;Teddy Bear;Toys;4;$52;$8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;New York;JFK;Electronics;#REF!
20.01.2020;Beverly Hills;Los Angeles;&;Residential;Toy Robot;Electronics;11;$286;$55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;New York;JFK;Sports & Outdoors;#REF!
21.01.2020;Hollywood;Los Angeles;&;Commercial;Action Figure;Toys;85;$1.359;$510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;New York;JFK;Art & Crafts;#REF!
22.01.2020;Hollywood;Los Angeles;;Commercial;Animal Figures;Toys;47;$611;$141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Los Angeles;LAX;Toys;#REF!
23.01.2020;Hollywood;Los Angeles;;Commercial;Colorbuds;Electronics;278;$4.167;$2.224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Los Angeles;LAX;Games;#REF!
24.01.2020;Hollywood;Los Angeles;;Commercial;Dart Gun;Sports & Outdoors;41;$656;$164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Los Angeles;LAX;Electronics;#REF!
